ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,Haider-Maurer A.,37,448,1296,81,7,6,6,3,6,4,,,,,3,0,Completed,1.04,13,1.02,10,1.05,10,1.03,18.28,1.06,21.25,1.03,13.72
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Sela D.,45,95,1115,585,6,3,5,7,3,6,7,5,6,2,3,2,Completed,1.3,3.5,1.3,3.2,1.33,3.4,1.37,3.39,1.38,3.5,1.33,3.31
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Edmund K.,Anderson K.,49,12,992,2610,6,7,6,3,3,6,6,3,6,4,3,2,Completed,3,1.4,2.85,1.37,3,1.4,2.97,1.45,3.1,1.46,2.92,1.41
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Kubler J.,11,243,2615,217,7,5,4,6,7,5,6,1,,,3,1,Completed,1.28,3.75,1.25,3.6,1.36,3.25,1.27,4.22,1.33,4.3,1.28,3.73
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Cuevas P.,Youzhny M.,34,90,1345,604,7,6,6,3,7,5,,,,,3,0,Completed,1.72,2.1,1.6,2.2,1.61,2.25,1.77,2.18,1.77,2.45,1.64,2.27
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Istomin D.,Herbert P.H.,60,74,848,690,6,2,6,1,5,7,7,6,,,3,1,Completed,1.66,2.2,1.65,2.1,1.73,2.1,1.71,2.27,1.76,2.28,1.68,2.18
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Delbonis F.,28,67,1490,755,7,5,6,4,6,3,,,,,3,0,Completed,1.25,4,1.23,3.75,1.25,4,1.27,4.22,1.28,4.3,1.25,3.99
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Moutet C.,76,155,686,361,3,6,6,4,6,2,6,2,,,3,1,Completed,1.33,3.4,1.3,3.2,1.4,3,1.34,3.59,1.36,3.59,1.33,3.36
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Ferrer D.,32,33,1373,1360,7,5,6,7,6,2,6,7,6,2,3,2,Completed,1.9,1.9,1.8,1.9,2,1.8,1.9,2.01,2.15,2.01,1.88,1.92
6,Melbourne,Australian Open,15/01/18,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Isner J.,78,16,684,2265,6,4,3,6,6,3,6,3,,,3,1,Completed,3.5,1.3,3.1,1.32,4,1.25,3.6,1.34,3.6,1.39,3.24,1.34
