	loser	match_id	p1	p1_1stIn_per	p1_1stW_per	p1_2ndW_per	p1_ace_per	p1_df_per	p1_serve_ptswon	p1_serve_win	p2	p2_1stIn_per	p2_1stW_per	p2_2ndW_per	p2_ace_per	p2_df_per	p2_serve_ptswon	p2_serve_win	score	winner
0	 Juan Martin Del Potro	20180711-M-Wimbledon-QF-Rafael_Nadal-Juan_Martin_Del_Potro.html	Rafael Nadal	0.6990000000000001	0.741	0.62	0.018000000000000002	0.03	117.0	0.7	Juan Martin Del Potro	0.634	0.775	0.45299999999999996	0.18899999999999997	0.04	115.0	0.66	7-5 6-7(7) 4-6 6-4 6-4	Rafael Nadal 
1	 Richard Gasquet	20131008-M-Shanghai_Masters-R64-Vasek_Pospisil-Richard_Gasquet.html	Vasek Pospisil	0.491	0.893	0.552	0.175	0.053	41.0	0.72	Richard Gasquet	0.674	0.677	0.667	0.043	0.022000000000000002	31.0	0.67	6-3 6-4	Vasek Pospisil 
2	 Grigor Dimitrov	20140101-M-Brisbane-R16-Marin_Cilic-Grigor_Dimitrov.html	Marin Cilic	0.597	0.87	0.516	0.182	0.052000000000000005	56.0	0.73	Grigor Dimitrov	0.611	0.75	0.536	0.111	0.013999999999999999	48.0	0.67	7-5 7-5	Marin Cilic 
3	 John Mcenroe	19920704-M-Wimbledon-SF-John_Mcenroe-Andre_Agassi.html	John Mcenroe	0.59	0.565	0.43799999999999994	0.09	0.09	40.0	0.51	Andre Agassi	0.55	0.705	0.639	0.063	0.013000000000000001	54.0	0.68	6-4 6-2 6-3	Andre Agassi 
4	 Kevin Anderson	20181115-M-Tour_Finals-RR-Kevin_Anderson-Roger_Federer.html	Kevin Anderson	0.545	0.733	0.32	0.16399999999999998	0.036000000000000004	30.0	0.55	Roger Federer	0.6	0.8	0.6	0.06	0.02	36.0	0.72	6-4 6-3	Roger Federer 
5	 Ernests Gulbis	20181021-M-Stockholm-F-Stefanos_Tsitsipas-Ernests_Gulbis.html	Stefanos Tsitsipas	0.588	0.833	0.762	0.13699999999999998	0.02	41.0	0.8	Ernests Gulbis	0.48100000000000004	0.846	0.429	0.14800000000000002	0.037000000000000005	34.0	0.63	6-4 6-4	Stefanos Tsitsipas 
6	 Uladzimir Ignatik	20170913-M-Istanbul_CH-R16-Karim_Mohamed_Maamoun-Uladzimir_Ignatik.html	Karim Mohamed Maamoun	0.6579999999999999	0.74	0.615	0.066	0.026000000000000002	53.0	0.7	Uladzimir Ignatik	0.55	0.773	0.389	0.163	0.113	48.0	0.6	6-3 3-6 6-2	Karim Mohamed Maamoun 
7	 John Isner	20180713-M-Wimbledon-SF-Kevin_Anderson-John_Isner.html	Kevin Anderson	0.7120000000000001	0.838	0.588	0.17600000000000002	0.013999999999999999	213.0	0.77	John Isner	0.7490000000000001	0.784	0.479	0.182	0.021	206.0	0.71	7-6(6) 6-7(5) 6-7(9) 6-4 26-24	Kevin Anderson 
8	 Milos Raonic	20160619-M-Queens_Club-F-Andy_Murray-Milos_Raonic.html	Andy Murray	0.738	0.8390000000000001	0.455	0.071	0.012	62.0	0.74	Milos Raonic	0.731	0.779	0.44	0.151	0.032	64.0	0.69	6-7(5) 6-4 6-3	Andy Murray 
9	 Lucas Miedler	20180715-M-Winnipeg_CH-F-Jason_Kubler-Lucas_Miedler.html	Jason Kubler	0.73	0.741	0.8	0.081	0.0	28.0	0.76	Lucas Miedler	0.757	0.46399999999999997	0.222	0.054000000000000006	0.081	15.0	0.41	6-1 6-1	Jason Kubler 
