	match_id	p1_backhand_per	p1_cc	p1_dl	p1_dm	p1_forehand_per	p1_ii	p1_io	p2_backhand_per	p2_cc	p2_dl	p2_dm	p2_forehand_per	p2_ii	p2_io
0	20110120-M-Australian_Open-R64-Gilles_Simon-Roger_Federer.html	0.5155763239875389	0.57	0.13	0.17	0.48442367601246106	0.01	0.11	0.4536082474226804	0.48	0.14	0.19	0.5463917525773195	0.05	0.14
1	20160108-M-Hopman_Cup-RR-Andy_Murray-Alexander_Zverev.html	0.3694581280788177	0.48	0.08	0.25	0.6059113300492611	0.0	0.19	0.4444444444444444	0.38	0.11	0.41	0.5314009661835749	0.01	0.1
2	20160220-M-Marseille-SF-Tomas_Berdych-Nick_Kyrgios.html	0.4930555555555556	0.48	0.08	0.27	0.5069444444444444	0.02	0.15	0.5732484076433121	0.4	0.1	0.34	0.4267515923566879	0.04	0.12
3	19961124-M-Tour_Finals-F-Boris_Becker-Pete_Sampras.html	0.5847953216374269	0.44	0.22	0.2	0.4152046783625731	0.01	0.13	0.5468277945619335	0.45	0.2	0.18	0.45317220543806647	0.04	0.14
4	20010204-M-Milan-F-Julien_Boutter-Roger_Federer.html	0.49615384615384617	0.49	0.12	0.29	0.5038461538461538	0.02	0.08	0.45147679324894513	0.35	0.07	0.37	0.5485232067510548	0.02	0.18
5	20010611-M-Halle-QF-Patrick_Rafter-Roger_Federer.html	0.5547945205479452	0.43	0.29	0.0	0.4452054794520548	0.0	0.29	0.5259259259259259	0.38	0.31	0.0	0.4740740740740741	0.08	0.23
6	20150927-M-Metz-SF-Jo_Wilfried_Tsonga-Philipp_Kohlschreiber.html	0.5645161290322581	0.37	0.04	0.43	0.43548387096774194	0.0	0.15	0.4380952380952381	0.42	0.03	0.33	0.5619047619047619	0.01	0.21
7	20091122-M-London-RR-Robin_Soderling-Novak_Djokovic.html	0.40239043824701193	0.5	0.21	0.09	0.5976095617529881	0.04	0.15	0.5560165975103735	0.57	0.11	0.2	0.44398340248962653	0.01	0.12
8	20160220-M-Rio_de_Janeiro-SF-Dominic_Thiem-Guido_Pella.html	0.3059360730593607	0.36	0.05	0.43	0.6940639269406392	0.0	0.16	0.43555555555555553	0.38	0.09	0.4	0.5644444444444444	0.01	0.13
9	20151013-M-Shanghai_Masters-R64-Milos_Raonic-Thomaz_Bellucci.html	0.5773195876288659	0.24	0.15	0.38	0.422680412371134	0.05	0.17	0.3575418994413408	0.52	0.06	0.22	0.6424581005586593	0.03	0.17
10	20180702-M-Wimbledon-R128-Nicolas_Jarry-Filip_Krajinovic.html	0.3880597014925373	0.47	0.08	0.22	0.6119402985074627	0.01	0.22	0.47950819672131145	0.36	0.16	0.36	0.5204918032786885	0.01	0.11
11	19930424-M-Monte_Carlo_Masters-SF-Cedric_Pioline-Stefan_Edberg.html	0.5753968253968254	0.27	0.09	0.54	0.4246031746031746	0.01	0.09	0.4773662551440329	0.34	0.08	0.4	0.522633744855967	0.0	0.18
12	20150929-M-Porto_Alegre_CH-R32-Orlando_Luz-Diego_Sebastian_Schwartzman.html	0.5475113122171946	0.46	0.07	0.36	0.45248868778280543	0.02	0.09	0.4954545454545455	0.45	0.07	0.32	0.5	0.0	0.16
13	20150316-M-Indian_Wells_Masters-R32-David_Ferrer-Bernard_Tomic.html	0.4464751958224543	0.5	0.11	0.14	0.5535248041775457	0.02	0.24	0.5947368421052631	0.46	0.2	0.22	0.4052631578947368	0.01	0.1
14	20160118-M-Manila_CH-R32-Ruben_Gonzales-Igor_Sijsling.html	0.4567901234567901	0.38	0.08	0.18	0.5432098765432098	0.1	0.26	0.5180722891566265	0.36	0.19	0.25	0.4819277108433735	0.06	0.15
15	20101112-M-Paris_Masters-F-Robin_Soderling-Gael_Monfils.html	0.4425287356321839	0.24	0.09	0.32	0.5574712643678161	0.01	0.34	0.5652173913043478	0.4	0.06	0.49	0.43478260869565216	0.0	0.05
16	19970512-M-Hamburg_Masters-F-Felix_Mantilla-Andrei_Medvedev.html	0.3993808049535604	0.31	0.09	0.36	0.6006191950464397	0.03	0.23	0.5380281690140845	0.51	0.08	0.26	0.4619718309859155	0.01	0.14
17	20160509-M-Seoul_CH-R32-Ho_Gi_Kang-Yuichi_Sugita.html	0.4143646408839779	0.34	0.16	0.31	0.585635359116022	0.02	0.17	0.6187845303867403	0.53	0.12	0.23	0.3812154696132597	0.02	0.1
18	20110123-M-Australian_Open-R16-Robin_Soderling-Alexandr_Dolgopolov.html	0.4367816091954023	0.41	0.19	0.18	0.5632183908045977	0.02	0.2	0.5616438356164384	0.57	0.12	0.19	0.4383561643835616	0.02	0.1
19	20170625-M-Queens_Club-F-Marin_Cilic-Feliciano_Lopez.html	0.44715447154471544	0.49	0.1	0.26	0.5528455284552846	0.02	0.13	0.5428571428571428	0.43	0.14	0.27	0.45714285714285713	0.0	0.15
20	20120801-M-Olympics-R16-Novak_Djokovic-Lleyton_Hewitt.html	0.5157232704402516	0.43	0.21	0.19	0.4811320754716981	0.01	0.16	0.4507936507936508	0.48	0.14	0.21	0.5492063492063493	0.0	0.16
21	20131102-M-Paris_Masters-SF-David_Ferrer-Rafael_Nadal.html	0.3786764705882353	0.43	0.17	0.2	0.6213235294117647	0.05	0.16	0.5460992907801419	0.41	0.19	0.22	0.45390070921985815	0.02	0.16
22	20150318-M-Shenzhen_CH-R16-Marton_Fucsovics-Tristan_Lamasine.html	0.44776119402985076	0.36	0.13	0.34	0.5522388059701493	0.02	0.15	0.46116504854368934	0.39	0.05	0.28	0.5388349514563107	0.02	0.27
