	loser	match_id	p1	p1_1stIn_per	p1_1stW_per	p1_2ndW_per	p1_ace_per	p1_df_per	p1_serve_ptswon	p1_serve_win	p2	p2_1stIn_per	p2_1stW_per	p2_2ndW_per	p2_ace_per	p2_df_per	p2_serve_ptswon	p2_serve_win	score	winner
0	 Simona Halep	20180520-W-Rome-F-Simona_Halep-Elina_Svitolina.html	Simona Halep	0.66	0.514	0.5	0.038	0.038	27.0	0.51	Elina Svitolina	0.614	0.815	0.647	0.0	0.023	33.0	0.75	6-0 6-4	Elina Svitolina 
1	 Kiki Bertens	20170531-W-Roland_Garros-R64-Catherine_Cartan_Bellis-Kiki_Bertens.html	Catherine Cartan Bellis	0.617	0.56	0.516	0.0	0.025	44.0	0.54	Kiki Bertens	0.565	0.667	0.3	0.10099999999999999	0.087	35.0	0.51	6-3 7-6(5)	Catherine Cartan Bellis 
2	 Anna Karolina Schmiedlova	20150312-W-Indian_Wells-R128-Anna_Karolina_Schmiedlova-Lauren_Davis.html	Anna Karolina Schmiedlova	0.6940000000000001	0.419	0.263	0.016	0.081	23.0	0.37	Lauren Davis	0.541	0.675	0.382	0.027000000000000003	0.10800000000000001	40.0	0.54	6-2 6-2	Lauren Davis 
3	 Carla Suarez Navarro	20160126-W-Australian_Open-QF-Carla_Suarez_Navarro-Agnieszka_Radwanska.html	Carla Suarez Navarro	0.621	0.537	0.28	0.015	0.106	29.0	0.44	Agnieszka Radwanska	0.691	0.684	0.353	0.018000000000000002	0.018000000000000002	32.0	0.58	6-1 6-3	Agnieszka Radwanska 
4	 Ana Konjuh	20140113-W-Australian_Open-R128-Ana_Konjuh-Na_Li.html	Ana Konjuh	0.5379999999999999	0.5	0.33299999999999996	0.0	0.096	22.0	0.42	Na Li	0.7559999999999999	0.706	0.636	0.067	0.0	31.0	0.69	6-2 6-0	Na Li 
5	 Simona Halep	20180127-W-Australian_Open-F-Caroline_Wozniacki-Simona_Halep.html	Caroline Wozniacki	0.578	0.6609999999999999	0.512	0.02	0.059000000000000004	61.0	0.6	Simona Halep	0.612	0.648	0.467	0.052000000000000005	0.009000000000000001	67.0	0.58	7-6(2) 3-6 6-4	Caroline Wozniacki 
6	 Nicole Vaidisova	20150207-W-ITF_Midland-SF-Tatjana_Maria-Nicole_Vaidisova.html	Tatjana Maria	0.561	0.757	0.379	0.091	0.0	39.0	0.59	Nicole Vaidisova	0.6409999999999999	0.58	0.39299999999999996	0.013000000000000001	0.038	40.0	0.51	6-4 7-5	Tatjana Maria 
7	 Aryna Sabalenka	20180903-W-US_Open-R16-Aryna_Sabalenka-Naomi_Osaka.html	Aryna Sabalenka	0.593	0.667	0.515	0.049	0.099	49.0	0.6	Naomi Osaka	0.632	0.691	0.531	0.10300000000000001	0.034	55.0	0.63	6-3 2-6 6-4	Naomi Osaka 
8	 Samantha Stosur	20150511-W-Rome-R64-Samantha_Stosur-Anastasia_Pavlyuchenkova.html	Samantha Stosur	0.767	0.7170000000000001	0.35700000000000004	0.16699999999999998	0.0	38.0	0.63	Anastasia Pavlyuchenkova	0.615	0.8	0.48	0.046	0.062	44.0	0.68	6-4 7-5	Anastasia Pavlyuchenkova 
9	 Serena Williams	20180908-W-US_Open-F-Serena_Williams-Naomi_Osaka.html	Serena Williams	0.545	0.633	0.44	0.073	0.109	30.0	0.55	Naomi Osaka	0.727	0.725	0.4	0.109	0.018000000000000002	35.0	0.64	6-2 6-4	Naomi Osaka 
10	 Angelique Kerber	20160207-W-Fed_Cup_World_Group_R1-RR-Angelique_Kerber-Belinda_Bencic.html	Angelique Kerber	0.725	0.69	0.409	0.075	0.025	49.0	0.61	Belinda Bencic	0.6829999999999999	0.8370000000000001	0.55	0.048	0.032	47.0	0.75	7-6(4) 6-3	Belinda Bencic 
11	 Magdalena Rybarikova	20170925-W-Wuhan-R64-Agnieszka_Radwanska-Magdalena_Rybarikova.html	Agnieszka Radwanska	0.568	0.7140000000000001	0.469	0.0	0.013999999999999999	45.0	0.61	Magdalena Rybarikova	0.44299999999999995	0.6859999999999999	0.386	0.051	0.127	41.0	0.52	6-4 7-5	Agnieszka Radwanska 
12	 Petra Kvitova	20181021-W-Singapore-RR-Petra_Kvitova-Elina_Svitolina.html	Petra Kvitova	0.552	0.563	0.423	0.069	0.121	29.0	0.5	Elina Svitolina	0.6509999999999999	0.61	0.591	0.048	0.016	38.0	0.6	6-3 6-3	Elina Svitolina 
13	 Irina Camelia Begu	20160505-W-Madrid-QF-Irina_Camelia_Begu-Simona_Halep.html	Irina Camelia Begu	0.662	0.7140000000000001	0.28	0.013999999999999999	0.081	42.0	0.57	Simona Halep	0.667	0.6	0.56	0.0	0.04	44.0	0.59	6-3 0-6 6-1	Simona Halep 
14	 Monica Seles	20021110-W-WTA_Tour_Championships-QF-Monica_Seles-Venus_Williams.html	Monica Seles	0.5770000000000001	0.585	0.4	0.013999999999999999	0.127	36.0	0.51	Venus Williams	0.667	0.618	0.41200000000000003	0.10800000000000001	0.078	56.0	0.55	7-5 6-4	Venus Williams 
15	 Petra Kvitova	20180818-W-Cincinnati-SF-Petra_Kvitova-Kiki_Bertens.html	Petra Kvitova	0.687	0.526	0.385	0.012	0.096	40.0	0.48	Kiki Bertens	0.585	0.75	0.353	0.122	0.085	48.0	0.59	3-6 6-4 6-2	Kiki Bertens 
