	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
0	20180520-W-Rome-F-Simona_Halep-Elina_Svitolina.html	14	6	7	5	21.0	11.0	8	9	4	9	12.0	18.0
1	20170531-W-Roland_Garros-R64-Catherine_Cartan_Bellis-Kiki_Bertens.html	10	2	14	7	24.0	9.0	19	5	16	10	35.0	15.0
2	20150312-W-Indian_Wells-R128-Anna_Karolina_Schmiedlova-Lauren_Davis.html	11	3	12	5	23.0	8.0	13	9	9	14	22.0	23.0
3	20160126-W-Australian_Open-QF-Carla_Suarez_Navarro-Agnieszka_Radwanska.html	18	8	19	12	37.0	20.0	7	3	8	11	15.0	14.0
4	20140113-W-Australian_Open-R128-Ana_Konjuh-Na_Li.html	8	4	19	3	27.0	7.0	8	7	11	10	19.0	17.0
5	20180127-W-Australian_Open-F-Caroline_Wozniacki-Simona_Halep.html	5	12	13	10	18.0	22.0	20	13	24	19	44.0	32.0
6	20150207-W-ITF_Midland-SF-Tatjana_Maria-Nicole_Vaidisova.html	7	0	13	9	20.0	9.0	8	14	37	16	45.0	30.0
7	20180903-W-US_Open-R16-Aryna_Sabalenka-Naomi_Osaka.html	18	12	11	10	29.0	22.0	18	6	13	3	31.0	9.0
8	20150511-W-Rome-R64-Samantha_Stosur-Anastasia_Pavlyuchenkova.html	9	5	17	8	26.0	13.0	5	8	7	6	12.0	14.0
9	20180908-W-US_Open-F-Serena_Williams-Naomi_Osaka.html	11	5	6	10	17.0	15.0	6	1	7	8	13.0	9.0
10	20160207-W-Fed_Cup_World_Group_R1-RR-Angelique_Kerber-Belinda_Bencic.html	16	6	17	18	33.0	24.0	9	5	5	18	14.0	23.0
11	20170925-W-Wuhan-R64-Agnieszka_Radwanska-Magdalena_Rybarikova.html	8	7	5	12	13.0	19.0	16	6	17	19	33.0	25.0
12	20181021-W-Singapore-RR-Petra_Kvitova-Elina_Svitolina.html	8	8	19	16	27.0	24.0	8	1	6	3	14.0	4.0
13	20160505-W-Madrid-QF-Irina_Camelia_Begu-Simona_Halep.html	10	4	22	7	32.0	11.0	22	4	12	13	34.0	17.0
14	20021110-W-WTA_Tour_Championships-QF-Monica_Seles-Venus_Williams.html	7	8	8	9	15.0	17.0	13	14	22	17	35.0	31.0
15	20180818-W-Cincinnati-SF-Petra_Kvitova-Kiki_Bertens.html	16	8	20	14	36.0	22.0	9	3	9	9	18.0	12.0
16	20180530-W-Roland_Garros-R64-Elina_Svitolina-Viktoria_Kuzmova.html	7	3	7	7	14.0	10.0	16	13	19	10	35.0	23.0
17	20140627-W-Wimbledon-R32-Venus_Williams-Petra_Kvitova.html	11	7	16	10	27.0	17.0	27	17	17	19	44.0	36.0
18	20160525-W-Roland_Garros-R64-Johanna_Larsson-Tsvetana_Pironkova.html	20	6	17	19	37.0	25.0	15	11	14	10	29.0	21.0
19	20160528-W-Roland_Garros-R32-Pauline_Parmentier-Timea_Bacsinszky.html	14	0	11	9	25.0	9.0	11	11	16	5	27.0	16.0
20	19910126-W-Australian_Open-F-Monica_Seles-Jana_Novotna.html	10	15	6	8	16.0	23.0	23	6	24	19	47.0	25.0
21	20120728-W-Olympics-R64-Ana_Ivanovic-Christina_Mchale.html	11	3	13	11	24.0	14.0	6	2	21	10	27.0	12.0
22	20170211-W-Fed_Cup_World_Group_R1-RR-Lara_Arruabarrena-Karolina_Pliskova.html	10	5	10	5	20.0	10.0	11	13	9	12	20.0	25.0
23	20140924-W-Wuhan-R32-Simona_Halep-Garbine_Muguruza.html	19	6	15	9	34.0	15.0	17	10	21	15	38.0	25.0
24	20130107-W-Hobart-R32-Timea_Babos-Klara_Koukalova.html	9	3	20	6	29.0	9.0	14	4	9	4	23.0	8.0
25	20171031-W-Zhuhai-RR-Magdalena_Rybarikova-Julia_Goerges.html	6	2	6	5	12.0	7.0	15	15	9	16	24.0	31.0
26	20180102-W-Auckland-R32-Jade_Lewis-Viktoria_Kuzmova.html	6	6	10	3	16.0	9.0	5	9	11	10	16.0	19.0
27	20160527-W-Roland_Garros-R32-Petra_Kvitova-Shelby_Rogers.html	13	8	15	11	28.0	19.0	11	4	9	15	20.0	19.0
28	20160421-W-Istanbul-R16-Anastasija_Sevastova-Johanna_Larsson.html	15	14	20	14	35.0	28.0	12	4	11	10	23.0	14.0
29	20170927-W-Wuhan-R16-Maria_Sakkari-Elena_Vesnina.html	15	6	12	11	27.0	17.0	16	7	22	10	38.0	17.0
30	20130124-W-Australian_Open-SF-Maria_Sharapova-Na_Li.html	12	6	8	6	20.0	12.0	5	8	12	10	17.0	18.0
31	20160913-W-ITF_Biarritz-R32-Nina_Stojanovic-Sara_Cakarevic.html	17	9	15	12	32.0	21.0	18	4	17	15	35.0	19.0
32	20160209-W-St_Petersburg-R32-Monica_Niculescu-Natalia_Vikhlyantseva.html	5	4	8	2	13.0	6.0	20	8	15	2	35.0	10.0
33	20140526-W-Roland_Garros-R128-Kirsten_Flipkens-Danka_Kovinic.html	5	5	7	12	12.0	17.0	20	4	17	14	37.0	18.0
34	20171105-W-ITF_Tyler-F-Danielle_Rose_Collins-Kristie_Ahn.html	14	6	15	3	29.0	9.0	7	4	15	13	22.0	17.0
35	20180530-W-Roland_Garros-R64-Katerina_Siniakova-Kateryna_Kozlova.html	13	14	17	17	30.0	31.0	26	13	19	9	45.0	22.0
36	20150530-W-Roland_Garros-R32-Alison_Van_Uytvanck-Kristina_Mladenovic.html	9	9	12	12	21.0	21.0	13	4	11	7	24.0	11.0
37	20150831-W-US_Open-R128-Alison_Van_Uytvanck-Jessica_Pegula.html	22	1	12	9	34.0	10.0	14	9	12	6	26.0	15.0
38	20160827-W-New_Haven-F-Agnieszka_Radwanska-Elina_Svitolina.html	5	6	12	17	17.0	23.0	16	5	17	10	33.0	15.0
39	20150111-W-Hobart_International-R32-Monica_Puig-Kaia_Kanepi.html	19	7	13	8	32.0	15.0	15	1	2	7	17.0	8.0
40	20130508-W-Madrid-R32-Serena_Williams-Lourdes_Dominguez_Lino.html	14	14	17	16	31.0	30.0	9	2	4	5	13.0	7.0
41	20170326-W-Miami-R32-Shelby_Rogers-Angelique_Kerber.html	15	13	17	17	32.0	30.0	9	7	6	9	15.0	16.0
42	20130114-W-Australian_Open-R128-Simona_Halep-Sloane_Stephens.html	11	1	5	3	16.0	4.0	2	3	3	11	5.0	14.0
43	20170909-W-US_Open-F-Madison_Keys-Sloane_Stephens.html	10	4	18	10	28.0	14.0	4	4	6	6	10.0	10.0
44	20160206-W-Fed_Cup_World_Group_R1-RR-Annika_Beck-Timea_Bacsinszky.html	19	4	13	9	32.0	13.0	27	11	19	7	46.0	18.0
45	20180831-W-US_Open-R32-Rebecca_Peterson-Kaia_Kanepi.html	14	3	26	14	40.0	17.0	13	14	23	11	36.0	25.0
46	20150105-W-Brisbane-Q3-Daria_Gavrilova-Elizaveta_Kulichkova.html	8	5	15	13	23.0	18.0	15	4	15	20	30.0	24.0
47	20150816-W-Toronto-F-Simona_Halep-Belinda_Bencic.html	29	11	33	17	62.0	28.0	17	11	19	5	36.0	16.0
48	20181020-W-Moscow-F-Ons_Jabeur-Darya_Kasatkina.html	29	12	26	28	55.0	40.0	10	3	11	8	21.0	11.0
49	20170327-W-Miami-R16-Dominika_Cibulkova-Lucie_Safarova.html	13	9	16	6	29.0	15.0	12	8	13	11	25.0	19.0
50	20150311-W-Indian_Wells-R128-Sloane_Stephens-Chanelle_Scheepers.html	23	7	16	4	39.0	11.0	10	3	23	5	33.0	8.0
