	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
0	19740714-M-Bastad-F-Bjorn_Borg-Adriano_Panatta	9	23	12	22	21.0	45.0	18	12	21	19	39.0	31.0
1	19750101-M-Australian_Open-F-Jimmy_Connors-John_Newcombe	11	29	17	15	28.0	44.0	10	13	8	22	18.0	35.0
2	19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec	9	16	6	10	15.0	26.0	9	4	15	8	24.0	12.0
3	19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg	21	4	9	7	30.0	11.0	12	7	7	8	19.0	15.0
4	19780611-M-Roland_Garros-F-Bjorn_Borg-Guillermo_Vilas	6	7	12	11	18.0	18.0	31	8	14	12	45.0	20.0
5	19800608-M-Roland_Garros-F-Vitas_Gerulaitis-Bjorn_Borg	13	8	18	16	31.0	24.0	5	12	11	21	16.0	33.0
6	19800907-M-US_Open-F-John_Mcenroe-Bjorn_Borg	23	14	19	30	42.0	44.0	27	30	23	31	50.0	61.0
7	19810104-M-Australian_Open-F-Kim_Warwick-Brian_Teacher	7	15	19	17	26.0	32.0	8	12	5	23	13.0	35.0
8	19810118-M-Masters-F-Ivan_Lendl-Bjorn_Borg	23	4	20	17	43.0	21.0	10	10	14	11	24.0	21.0
9	19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl	8	9	7	9	15.0	18.0	10	9	23	17	33.0	26.0
10	19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg	23	30	10	30	33.0	60.0	7	23	14	20	21.0	43.0
11	19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg	14	16	16	25	30.0	41.0	16	13	12	9	28.0	22.0
12	19820606-M-Roland_Garros-F-Guillermo_Vilas-Mats_Wilander	4	5	7	11	11.0	16.0	14	11	10	12	24.0	23.0
13	19820704-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors	17	16	20	27	37.0	43.0	19	24	20	23	39.0	47.0
14	19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl	20	16	20	20	40.0	36.0	25	8	28	17	53.0	25.0
15	19821213-M-Australian_Open-F-Steve_Denton-Johan_Kriek	14	9	10	5	24.0	14.0	6	14	5	19	11.0	33.0
16	19830605-M-Roland_Garros-F-Mats_Wilander-Yannick_Noah	17	18	15	13	32.0	31.0	19	10	16	27	35.0	37.0
17	19830703-M-Wimbledon-F-Chris_Lewis-John_Mcenroe	3	0	3	6	6.0	6.0	9	21	3	23	12.0	44.0
18	19830911-M-US_Open-F-Jimmy_Connors-Ivan_Lendl	21	11	33	15	54.0	26.0	24	9	28	5	52.0	14.0
19	19831211-M-Australian_Open-F-Mats_Wilander-Ivan_Lendl	13	16	5	15	18.0	31.0	8	7	16	17	24.0	24.0
20	19840115-M-Masters-F-John_Mcenroe-Ivan_Lendl	14	15	7	15	21.0	30.0	10	9	6	15	16.0	24.0
21	19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl	7	12	8	10	15.0	22.0	10	2	5	6	15.0	8.0
22	19840610-M-Roland_Garros-F-John_Mcenroe-Ivan_Lendl	29	24	19	35	48.0	59.0	11	21	15	24	26.0	45.0
23	19840708-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors	4	11	1	13	5.0	24.0	1	4	4	5	5.0	9.0
24	19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl	7	15	5	13	12.0	28.0	11	9	2	12	13.0	21.0
25	19841209-M-Australian_Open-F-Mats_Wilander-Kevin_Curren	9	23	3	24	12.0	47.0	17	14	20	28	37.0	42.0
26	19850609-M-Roland_Garros-F-Mats_Wilander-Ivan_Lendl	19	18	15	21	34.0	39.0	17	12	27	30	44.0	42.0
27	19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren	13	17	11	31	24.0	48.0	7	10	8	14	15.0	24.0
