	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
0	20050117-M-Australian_Open-R128-Novak_Djokovic-Marat_Safin.html	8	1	18	1	26.0	2.0	9	4	9	11	18.0	15.0
1	20060419-M-Monte_Carlo_Masters-R64-Novak_Djokovic-Roger_Federer.html	16	12	16	8	32.0	20.0	7	11	23	12	30.0	23.0
2	20060607-M-Roland_Garros-QF-Novak_Djokovic-Rafael_Nadal.html	16	7	7	13	23.0	20.0	4	1	8	13	12.0	14.0
3	20060723-M-Amersfoort-F-Novak_Djokovic-Nicolas_Massu.html	12	5	14	10	26.0	15.0	7	3	14	13	21.0	16.0
4	20060922-M-Davis_Cup_World_Group_PO-RR-Roger_Federer-Novak_Djokovic.html	9	9	15	24	24.0	33.0	14	4	10	8	24.0	12.0
5	20061008-M-Metz-F-Novak_Djokovic-Jurgen_Melzer.html	9	7	7	10	16.0	17.0	22	12	9	11	31.0	23.0
6	20061019-M-Madrid_Masters-R16-Andy_Murray-Novak_Djokovic.html	18	8	16	10	34.0	18.0	13	2	24	13	37.0	15.0
7	20070107-M-Adelaide-F-Chris_Guccione-Novak_Djokovic.html	14	15	9	19	23.0	34.0	5	14	8	22	13.0	36.0
8	20070122-M-Australian_Open-R16-Roger_Federer-Novak_Djokovic.html	12	10	13	28	25.0	38.0	9	6	16	4	25.0	10.0
9	20070301-M-Dubai-QF-Roger_Federer-Novak_Djokovic.html	17	9	18	19	35.0	28.0	12	3	18	4	30.0	7.0
10	20070305-M-Indian_Wells-SF-Andy_Murray-Novak_Djokovic.html	14	1	5	7	19.0	8.0	6	4	7	7	13.0	11.0
11	20070314-M-Indian_Wells_Masters-F-Novak_Djokovic-Rafael_Nadal.html	11	3	12	11	23.0	14.0	6	3	9	11	15.0	14.0
12	20070325-M-Miami_Masters-F-Novak_Djokovic-Guillermo_Canas.html	14	15	17	18	31.0	33.0	9	3	12	11	21.0	14.0
13	20070329-M-Miami_Masters-QF-Novak_Djokovic-Rafael_Nadal.html	7	4	9	8	16.0	12.0	12	3	11	15	23.0	18.0
14	20070330-M-Miami_Masters-SF-Novak_Djokovic-Andy_Murray.html	3	5	4	7	7.0	12.0	11	2	13	2	24.0	4.0
15	20070511-M-Rome_Masters-QF-Novak_Djokovic-Rafael_Nadal.html	13	3	12	14	25.0	17.0	3	8	6	20	9.0	28.0
16	20070608-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal.html	25	7	15	16	40.0	23.0	5	5	11	25	16.0	30.0
17	20070707-M-Wimbledon-SF-Novak_Djokovic-Rafael_Nadal.html	6	2	5	2	11.0	4.0	1	2	0	6	1.0	8.0
18	20070812-M-Canada_Masters-F-Novak_Djokovic-Roger_Federer.html	8	4	10	12	18.0	16.0	22	5	18	26	40.0	31.0
19	20070812-M-Canada_Masters-SF-Novak_Djokovic-Rafael_Nadal.html	12	4	13	11	25.0	15.0	13	5	3	7	16.0	12.0
20	20070908-M-US_Open-SF-David_Ferrer-Novak_Djokovic.html	11	2	23	8	34.0	10.0	18	6	18	16	36.0	22.0
21	20070909-M-US_Open-F-Roger_Federer-Novak_Djokovic.html	18	6	21	20	39.0	26.0	24	5	10	14	34.0	19.0
22	20071112-M-Masters_Cup-RR-Novak_Djokovic-Richard_Gasquet.html	8	6	9	7	17.0	13.0	7	9	4	14	11.0	23.0
23	20071115-M-Tour_Finals-RR-Novak_Djokovic-Rafael_Nadal.html	16	4	15	11	31.0	15.0	6	7	6	7	12.0	14.0
